user_id,segment_type
12872,Technographic
78681,Demographic
3320,Behavioral
67604,Firmographic
48177,Demographic
60096,Demographic
15335,Customer data
29739,Technographic
97139,Firmographic
37493,Psychographic
15515,Psychographic
44245,Behavioral
57779,Technographic
94147,Demographic
77880,Behavioral
39013,Demographic
4983,Technographic
58818,Demographic
72831,Behavioral
25341,Behavioral
48455,Technographic
66326,Technographic
64416,Demographic
35442,Demographic
43259,Firmographic
55593,Demographic
42769,Firmographic
40620,Firmographic
75417,Technographic
24927,Behavioral
56223,Technographic
70081,Psychographic
45134,Demographic
24927,Behavioral
75949,Psychographic
69523,Technographic
32650,Technographic
69063,Psychographic
1519,Customer data
43962,Firmographic
36471,Firmographic
40892,Demographic
48030,Demographic
86623,Customer data
96335,Demographic
70973,Firmographic
97623,Customer data
4992,Behavioral
90105,Firmographic
6119,Customer data
57159,Customer data
81269,Behavioral
72494,Firmographic
62174,Behavioral
86084,Demographic
66411,Demographic
76476,Firmographic
91716,Demographic
78413,Psychographic
90508,Psychographic
14679,Firmographic
85534,Psychographic
98299,Technographic
82360,Demographic
11886,Psychographic
98442,Behavioral
78317,Psychographic
99048,Behavioral
24365,Behavioral
37021,Customer data
99366,Technographic
26489,Behavioral
54772,Technographic
61560,Technographic
17860,Demographic
82406,Firmographic
91742,Demographic
69014,Technographic
88662,Customer data
42276,Behavioral
30843,Behavioral
10312,Psychographic
36047,Demographic
70817,Demographic
98742,Customer data
22512,Customer data
19994,Demographic
37516,Firmographic
92194,Technographic
96410,Demographic
1999,Firmographic
86482,Firmographic
70651,Technographic
38297,Technographic
2493,Psychographic
2569,Demographic
56064,Firmographic
88798,Psychographic
81071,Psychographic
58191,Customer data
77879,Psychographic
32951,Firmographic
96826,Technographic
83624,Customer data
56026,Customer data
93416,Psychographic
64289,Behavioral
92108,Technographic
76257,Technographic
66370,Demographic
98480,Psychographic
63524,Demographic
85307,Demographic
23526,Firmographic
85936,Firmographic
87104,Behavioral
82093,Customer data
54762,Technographic
52457,Customer data
11364,Customer data
83056,Demographic
77207,Technographic
58064,Customer data
37165,Firmographic
22429,Behavioral
28319,Demographic
65631,Firmographic
38112,Psychographic
16221,Customer data
67146,Behavioral
46506,Psychographic
26261,Firmographic
36892,Customer data
73887,Demographic
87568,Demographic
70966,Technographic
4730,Behavioral
19888,Firmographic
38710,Behavioral
55392,Psychographic
44641,Demographic
81302,Psychographic
61262,Customer data
55968,Customer data
35102,Behavioral
89163,Firmographic
99651,Firmographic
35970,Customer data
57475,Firmographic
97390,Demographic
73257,Firmographic
68213,Customer data
79494,Psychographic
27694,Demographic
72550,Customer data
74370,Psychographic
4359,Demographic
46936,Psychographic
57344,Behavioral
65559,Firmographic
16148,Behavioral
87604,Demographic
62674,Demographic
54713,Demographic
9091,Psychographic
50080,Customer data
93469,Technographic
45735,Behavioral
89826,Technographic
94221,Demographic
71279,Firmographic
79879,Technographic
10571,Psychographic
44963,Demographic
50836,Customer data
60145,Firmographic
70363,Demographic
10640,Technographic
43972,Technographic
47031,Firmographic
93102,Psychographic
20264,Behavioral
53376,Customer data
76387,Behavioral
43230,Demographic
92969,Psychographic
83929,Behavioral
87314,Behavioral
64765,Psychographic
35359,Demographic
137,Customer data
61873,Firmographic
35160,Psychographic
38644,Psychographic
32698,Demographic
71062,Psychographic
61550,Behavioral
73972,Firmographic
28484,Psychographic
29326,Technographic
11940,Behavioral
62404,Psychographic
74399,Demographic
69762,Technographic
59741,Customer data
40689,Firmographic
65362,Demographic
24296,Behavioral
3735,Customer data
8797,Psychographic
71391,Firmographic
81677,Psychographic
32958,Customer data
18894,Demographic
46173,Firmographic
57566,Customer data
5358,Behavioral
22624,Customer data
6004,Customer data
77049,Technographic
42331,Technographic
96578,Technographic
91714,Firmographic
77517,Technographic
58374,Psychographic
71641,Customer data
73334,Technographic
4510,Behavioral
17669,Behavioral
65785,Psychographic
272,Technographic
33129,Behavioral
9258,Psychographic
64399,Customer data
91762,Customer data
21603,Demographic
25964,Technographic
33983,Behavioral
49345,Firmographic
67177,Technographic
17338,Technographic
5166,Psychographic
80854,Firmographic
63795,Behavioral
50226,Behavioral
56341,Psychographic
45336,Demographic
79459,Firmographic
40609,Behavioral
37178,Customer data
75841,Firmographic
67380,Firmographic
89383,Technographic
71933,Firmographic
22206,Demographic
95875,Firmographic
48979,Psychographic
98692,Psychographic
39532,Technographic
72179,Technographic
32512,Technographic
20181,Customer data
15332,Behavioral
74396,Technographic
50429,Psychographic
80719,Technographic
40166,Customer data
66244,Behavioral
95998,Firmographic
84544,Technographic
45128,Technographic
55544,Technographic
69957,Behavioral
55413,Customer data
23078,Demographic
51589,Psychographic
30479,Customer data
84619,Behavioral
18357,Firmographic
58543,Technographic
96106,Firmographic
82894,Customer data
44639,Firmographic
18434,Psychographic
37302,Technographic
14610,Firmographic
17396,Demographic
35101,Customer data
48338,Technographic
64174,Psychographic
6033,Customer data
48917,Psychographic
71716,Demographic
52255,Customer data
44908,Behavioral
81455,Psychographic
58508,Technographic
10871,Psychographic
48413,Firmographic
76341,Firmographic
30932,Behavioral
8450,Psychographic
38144,Customer data
57866,Behavioral
36048,Technographic
11900,Firmographic
95087,Technographic
86807,Demographic
97478,Behavioral
93561,Technographic
21452,Firmographic
38000,Behavioral
17534,Firmographic
81539,Technographic
64617,Demographic
59795,Technographic
82539,Customer data
66623,Demographic
66908,Psychographic
86789,Technographic
56114,Psychographic
83135,Firmographic
46118,Behavioral
76659,Psychographic
62199,Customer data
63455,Behavioral
32889,Firmographic
11326,Firmographic
